"FITXA_ID","TIPUS","AREA","ELEMENT","DETALL","DIA_DATA_ALTA","MES_DATA_ALTA","ANY_DATA_ALTA","DIA_DATA_TANCAMENT","MES_DATA_TANCAMENT","ANY_DATA_TANCAMENT","CODI_DISTRICTE","DISTRICTE","CODI_BARRI","BARRI","SECCIO_CENSAL","TIPUS_VIA","CARRER","NUMERO","COORDENADA_X","COORDENADA_Y","LONGITUD","LATITUD","SUPORT","CANALS_RESPOSTA"
38755967,""QUEIXA"",""Serveis socials"",""Centres de serveis socials"",""Desacord amb la prestació de serveis"",11,08,2024,02,01,2025,,,,,,,,,,,,,""INSTÀNCIA"",""CARTA""
38755946,""CONSULTA"",""Cultura"",""Arxius municipals de districte"",""Cita prèvia urbanisme i obres"",21,10,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38758934,""QUEIXA"",""Prevenció i seguretat"",""Molèsties soroll a la via pública"",""Aire condicionat"",23,10,2024,02,01,2025,02,""Eixample"",07,""la Dreta de l'Eixample"",077,""Ronda"",""Rda de Sant Pere"",0011,430725,4582230,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755917,""QUEIXA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor disciplina viària"",25,10,2024,02,01,2025,09,""Sant Andreu"",63,""Navas"",085,""Passeig"",""Pg de Maragall"",0056,431522,4585363,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755947,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera incidències"",07,11,2024,02,01,2025,09,""Sant Andreu"",61,""la Sagrera"",064,""Carrer"",""de Felip II"",0046,432256,4585558,,,""TELÈFON"",""SMS""
38755916,""QUEIXA"",""Mobilitat"",""Vehicles a motor"",""Vehicles motor disciplina viària"",10,11,2024,02,01,2025,09,""Sant Andreu"",61,""la Sagrera"",063,""Carrer"",""de la Ciutat D'elx"",0022,432373,4585866,,,""TELÈFON"",""EMAIL""
38755977,""INCIDENCIA"",""Mobilitat"",""Ordenació viària"",""Elements reductors velocitat incidències"",11,11,2024,02,01,2025,04,""Les Corts"",20,""la Maternitat i Sant Ramon"",,""Carrer"",""de Benavent"",0043,426789,4581183,,,""WEB"",""EMAIL""
38756952,""CONSULTA"",""Mobilitat"",""Vehicle privat (cotxe  moto)"",""Aparcaments al carrer (àrea verda  àrea blava)"",19,11,2024,02,01,2025,,,,,,,,,,,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755968,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera incidències"",24,11,2024,02,01,2025,04,""Les Corts"",19,""les Corts"",,""Carrer"",""de Berlín"",0067,428064,4581709,,,""WEB"",""EMAIL""
38755931,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Parcs jardins i zones verdes"",""Parcs jardins i zones verdes incidències"",24,11,2024,02,01,2025,06,""Gràcia"",28,""Vallcarca i els Penitents"",,""Carrer"",""de Trullols"",0018,427938,4585805,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755918,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""Disconforme actuació agent"",25,11,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38755937,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Freàtic  pous i mines (aigua freàtica)"",""Incidència del freàtic"",25,11,2024,02,01,2025,02,""Eixample"",10,""Sant Antoni"",,""Carrer"",""D'aldana"",0006,430269,4580785,,,""WEB"",""EMAIL""
38755922,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",27,11,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38755921,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""No van atendre petició"",27,11,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38755919,""QUEIXA"",""Prevenció i seguretat"",""Molèsties espai públic"",""Persones  col·lectius molestant espai públic"",27,11,2024,02,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Carrer"",""de Bartrina"",0042,432085,4588009,,,""WEB"",""EMAIL""
38755920,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""No van atendre petició"",27,11,2024,02,01,2025,,,,,,,,,,,,,""WEB"",""EMAIL""
38755969,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Parcs jardins i zones verdes"",""Parcs jardins i zones verdes incidències"",28,11,2024,02,01,2025,04,""Les Corts"",19,""les Corts"",,""Carrer"",""del Montnegre"",0028,428018,4582125,,,""WEB"",""EMAIL""
38765951,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Sacs i contenidors runa"",""Sacs i contenidors runa incidències"",29,11,2024,02,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Carrer"",""de Concepción Arenal"",0293,431835,4587127,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755971,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera incidències"",29,11,2024,02,01,2025,04,""Les Corts"",21,""Pedralbes"",,""Carrer"",""de Pedro i Pons"",0005,426660,4582302,,,""WEB"",""EMAIL""
38755970,""SUGGERIMENT"",""Manteniment de l'espai urbà"",""Bancs"",""Bancs nou/s - canvi de lloc"",29,11,2024,02,01,2025,04,""Les Corts"",20,""la Maternitat i Sant Ramon"",041,""Riera"",""Rier Blanca"",0001,426561,4581067,,,""TELÈFON"",""CARTA""
38755929,""QUEIXA"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""No van atendre petició"",30,11,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""NO VOL RESPOSTA""
38755972,""SUGGERIMENT"",""Mobilitat"",""Ordenació viària"",""Pla de mobilitat"",30,11,2024,02,01,2025,04,""Les Corts"",19,""les Corts"",024,""Carrer"",""de Josep Irla i Bosch"",0007,427228,4582540,,,""INSTÀNCIA TELEMÀTICA"",""EMAIL""
38755954,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Recollida orgànic / rebuig"",""Contenidor orgànic/rebuig suposa barrera arquitectònica"",30,11,2024,02,01,2025,09,""Sant Andreu"",61,""la Sagrera"",066,""Carrer"",""de Sant Antoni Maria Claret"",0502,432177,4585863,,,""RECLAMACIÓ INTERNA"",""EMAIL""
38755915,""QUEIXA"",""Prevenció i seguretat"",""Molèsties soroll a la via pública"",""Concentració persones fent soroll"",30,11,2024,02,01,2025,09,""Sant Andreu"",60,""Sant Andreu"",,""Rambla"",""Rbla de L'onze de Setembre"",0036,432579,4586828,,,""WEB"",""EMAIL""
38755973,""CONSULTA"",""Govern Obert"",""Go govern obert"",""Govern obert"",01,12,2024,02,01,2025,,,,,,,,,,,,,""FULLS QUEIXES I SUGGERIMENTS"",""CARTA""
38755938,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Pintades / cartells / pancartes"",""Netejar pintada  cartell o pancarta en espai públic"",01,12,2024,02,01,2025,02,""Eixample"",05,""el Fort Pienc"",,""Passeig"",""Pg de Sant Joan"",0002,431472,4582565,,,""MÒBIL"",""EMAIL""
38755945,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",02,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755933,""SUGGERIMENT"",""Prevenció i seguretat"",""Actuació guàrdia urbana"",""Més presència als carrers"",02,12,2024,02,01,2025,03,""Sants-Montjuïc"",,"""",,"""","""",,,,,,""TELÈFON"",""EMAIL""
38755942,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",03,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755924,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",03,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755957,""QUEIXA"",""Prevenció i seguretat"",""Incompliment d'ordenances a l'espai privat"",""Convivència veïnal"",03,12,2024,02,01,2025,08,""Nou Barris"",51,""Verdun"",075,""Carrer"",""de Joaquim Valls"",0111,431347,4588445,,,""TELÈFON"",""TELEFÒNIC""
38755932,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",04,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755927,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",04,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755951,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Parcs  jardins i zones verdes"",""Parcs  jardins i zones verdes bruts"",04,12,2024,02,01,2025,09,""Sant Andreu"",63,""Navas"",,""Avinguda"",""Av Meridiana"",0250,432078,4585551,,,""WEB"",""EMAIL""
38755926,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Estructures vials"",""Element singular incidències"",04,12,2024,02,01,2025,06,""Gràcia"",28,""Vallcarca i els Penitents"",006,""Viaducte"",""Viad de Vallcarca"",0001,428451,4584920,,,""TELÈFON"",""EMAIL""
38755923,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Arbrat"",""Arbrat incidències"",04,12,2024,02,01,2025,03,""Sants-Montjuïc"",17,""Sants - Badal"",,""Carrer"",""de Portbou"",0006,427011,4580862,,,""MÒBIL"",""EMAIL""
38755939,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Pintades / cartells / pancartes"",""Netejar pintada  cartell o pancarta en espai públic"",04,12,2024,02,01,2025,10,""Sant Martí"",64,""el Camp de l'Arpa del Clot"",010,""Carrer"",""de Sant Quintí"",0030,431392,4584913,,,""TELÈFON"",""EMAIL""
38755961,""SUGGERIMENT"",""Recollida i neteja de l'espai urbà"",""Recollida orgànic / rebuig"",""Contenidor orgànic/rebuig sol·licitud de nou/s"",04,12,2024,02,01,2025,07,""Horta-Guinardó"",43,""Horta"",,""Camí"",""Camí Antic de Sant Llàtzer"",0004,429862,4588027,,,""WEB"",""EMAIL""
38755934,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",04,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""CARTA""
38755940,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",04,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755960,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Recollida paper cartó/vidre/reciclables"",""contenidors de paper i cartó/vidre/reciclables incidències"",04,12,2024,02,01,2025,07,""Horta-Guinardó"",43,""Horta"",,""Camí"",""Camí Antic de Sant Llàtzer"",0004,429862,4588027,,,""WEB"",""EMAIL""
38755975,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Senyalització vertical trànsit"",""Senyalització vertical incidències"",05,12,2024,02,01,2025,04,""Les Corts"",21,""Pedralbes"",,""Carrer"",""del Torrent de Les Roses"",0001,425214,4582316,,,""WEB"",""EMAIL""
38755925,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Papereres"",""Paperera incidències"",05,12,2024,02,01,2025,04,""Les Corts"",21,""Pedralbes"",,""Avinguda"",""Av de la Mare de Déu de Lorda"",0038,425341,4583420,,,""MÒBIL"",""EMAIL""
38755959,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",05,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""CARTA""
38755974,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera incidències"",05,12,2024,02,01,2025,04,""Les Corts"",21,""Pedralbes"",054,""Carrer"",""de González Tablas"",0003,425559,4581893,,,""TELÈFON"",""EMAIL""
38755962,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Neteja carrers i/o places"",""Objectes a netejar / retirar"",05,12,2024,02,01,2025,07,""Horta-Guinardó"",38,""la Teixonera"",,""Carrer"",""de Trueba"",0025,428366,4586145,,,""MÒBIL"",""EMAIL""
38755953,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",05,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755956,""QUEIXA"",""Serveis socials"",""Servei d'atenció domiciliària"",""Desacord amb la gestió del servei d'atenció domiciliària"",05,12,2024,02,01,2025,,,,,,,,,,,,,""TELÈFON"",""EMAIL""
38755928,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Zona gossos"",""Zona gossos elements incidències"",06,12,2024,02,01,2025,05,""Sarrià-Sant Gervasi"",27,""el Putxet i el Farró"",,""Avinguda"",""Av de la República Argentina"",0131,428479,4584770,,,""MÒBIL"",""EMAIL""
38755976,""INCIDENCIA"",""Manteniment de l'espai urbà"",""Voreres"",""Vorera incidències"",06,12,2024,02,01,2025,04,""Les Corts"",20,""la Maternitat i Sant Ramon"",,""Carrer"",""del Pintor Ribalta"",0003,426020,4581129,,,""MÒBIL"",""EMAIL""
38755952,""INCIDENCIA"",""Recollida i neteja de l'espai urbà"",""Papereres"",""Neteja papereres plenes"",06,12,2024,02,01,2025,10,""Sant Martí"",68,""el Poblenou"",,""Passatge"",""Ptge de Saladrigas"",0008,433370,4583756,,,""WEB"",""EMAIL""
